78467	Sternenbäck				Fürstenbergstr. 91
78462	Sternenbäck				Bodanstr. 1-3
78647	Sternenbäck				Max-Stromeyer-Str. 55
78464	Sternenbäck				Zähringerplatz 9
78462	Paradiesbäckerei Menge			Gottlieber Straﬂe 42, 		Öffnungszeiten: Mo.-Fr. 06:00 bis 18:00, Sa. 06:00 bis 12:30
78462	Paradiesbäckerei Menge			Brauneggerstraﬂe 14, 		Öffnungszeiten: Mo.-Fr. 06:30 bis 18:00, Sa. 06:30 bis 12:30
78464	Bäckerei Fricke				Mainaustraﬂe 165, 		Öffnungszeiten: Mo.-Fr. 06:00 bis 13:00, 14:30 bis 18:30, Sa. 06:00 bis 12:30, So. 08:30 bis 11:00
78462	Bäckerei Fricke				Sankt-Johann-Gasse 12, 	Öffnungszeiten: Mo.-Fr. 06:00 bis 18:00, Sa. 07:00 bis 13:00
78462	Reginbrot				Münzgasse 16, 			Öffnungszeiten: Mo.-Fr. 09:00 bis 19:00, Sa. 09:00 bis 18:00
78462	Holsteins Backhaus			Hussenstr. 21-23, 		Öffnungszeiten: Mo.-Fr. 07:00 bis 20:00, Sa. 07:00 bis 18:00
78462	Holsteins Backhaus			Rosgartenstr. 22, 		Öffnungszeiten: Mo.-Fr. 07:00 bis 18:30, Sa. 07:00 bis 17:30
78467	Holsteins Backhaus			Moltkestr. 3, 			Öffnungszeiten: Mo.-Fr. 06:00 bis 18:00, Sa. 07:00 bis 12:30, So. 07:15 bis 11:00
78467	Holsteins Backhaus			Carl Benz Str. 13,		Öffnungszeiten: Mo.-Fr. 07:00 bis 20:00, Sa. 08:00 bis 20:00
78467	Holsteins Backhaus			Zähringerplatz 7, 		Öffnungszeiten: Mo.-Fr. 07:00 bis 21:00, Sa. 07:00 bis 21:00
78467	Holsteins Backhaus			Markgrafenstr. 17, 		Öffnungszeiten: Mo.-Fr. 06:00 bis 18:00, Sa. 07:00 bis 12:30
78462 	K&U					Bodanstr. 1, 			Öffnungszeiten: Mo.-Sa. 08:00 bis 20:00
78462	K&U					Bodanstr. 20-26, 		Öffnungszeiten: Mo.-Sa. 08:00 bis 20:00
78467	K&U					Schneckenburgstr. 5, 		Öffnungszeiten: Mo.-Sa. 08:00 bis 22:00
78462	K&U					Gottlieber Str. 34, 		Öffnungszeiten: Mo.-Sa. 07:00 bis 20:00, So. 08:00 bis 11:00
78467	K&U					Reichenauerstr. 36,		Öffnungszeiten: Mo.-Sa. 08:00 bis 22:00
78464	K&U					Staader Str. 2, 		Öffnungszeiten: Mo.-Fr. 07:30 bis 20:00, Sa. 08:00 bis 18:00, So. 08:00 bis 11:00
78467	K&U					Reichenauerstr. 202, 		Öffnungszeiten: Mo.-Do. 07:00 bis 20:00, Fr. 07:00 bis 22:00
78467	K&U					Riedstr. 2, 			Öffnungszeiten: Mo.-Sa. 07:00 bis 20:00, So. 08:00 bis 11:00
78464	Meisterbäckerei Schneckenburger	Mainaustraﬂe 79a, 		Öffnungszeiten: Mo.-Sa. 07:00 bis 21:00, So 08:00 bis 11:00
78467	Meisterbäckerei Schneckenburger	Carl-Benz-Straﬂe 18-22,	Öffnungszeiten: Mo.-Sa. 07:00 bis 22:00
78462	Meisterbäckerei Schneckenburger	Kanzeleistraﬂe 10, 		Öffnungszeiten: Mo.-Sa. 07:00 bis 19:00
78464	Meisterbäckerei Schneckenburger	Zähringerplatz 22, 		Öffnungszeiten: Mo.-Fr. 06:30 bis 19:00, Sa.-So. 07:00 bis 17:00
